day,price,predicted_price,action,holding,steps_holding,portfolio_value,capital
0,37536.6328125,43895.578125,BUY,True,0,10000.0,10000.0
1,34770.58203125,42265.2421875,SELL,False,0,9263.106311355428,9263.106311355428
2,38705.98046875,40662.83984375,BUY,True,0,9263.106311355428,9263.106311355428
3,38402.22265625,39503.30078125,SELL,False,0,9190.41106178375,9190.41106178375
4,39294.19921875,38707.79296875,BUY,True,0,9190.41106178375,9190.41106178375
5,38436.96875,38288.97265625,SELL,False,0,8989.915809580245,8989.915809580245
6,35697.60546875,38093.78515625,BUY,True,0,8989.915809580245,8989.915809580245
7,34616.06640625,37858.8203125,SELL,False,0,8717.546136909654,8717.546136909654
8,35678.12890625,37535.03125,BUY,True,0,8717.546136909654,8717.546136909654
9,37332.85546875,37258.43359375,HOLD,True,1,9121.859804548114,8717.546136909654
10,36684.92578125,37162.30078125,SELL,False,0,8963.545534225903,8963.545534225903
11,37575.1796875,37148.73828125,BUY,True,0,8963.545534225903,8963.545534225903
12,39208.765625,37262.03515625,HOLD,True,1,9353.236869214341,8963.545534225903
13,36894.40625,37578.59765625,SELL,False,0,8801.147276751894,8801.147276751894
14,35551.95703125,37858.0234375,BUY,True,0,8801.147276751894,8801.147276751894
15,35862.37890625,37974.9609375,SELL,False,0,8877.994484836641,8877.994484836641
16,33560.70703125,37991.796875,BUY,True,0,8877.994484836641,8877.994484836641
17,33472.6328125,37757.1171875,SELL,False,0,8854.695737656173,8854.695737656173
18,37345.12109375,37366.21484375,BUY,True,0,8854.695737656173,8854.695737656173
19,36702.59765625,37211.1328125,SELL,False,0,8702.350548331626,8702.350548331626
20,37334.3984375,37176.33203125,BUY,True,0,8702.350548331626,8702.350548331626
21,35552.515625,37276.828125,SELL,False,0,8287.007874567082,8287.007874567082
22,39097.859375,37318.37890625,BUY,True,0,8287.007874567082,8287.007874567082
23,40218.4765625,37601.05859375,HOLD,True,1,8524.528895043351,8287.007874567082
24,40406.26953125,38114.46875,SELL,False,0,8564.332655036787,8564.332655036787
25,38347.0625,38759.28125,BUY,True,0,8564.332655036787,8564.332655036787
26,38053.50390625,39276.84765625,SELL,False,0,8498.770046411424,8498.770046411424
27,35787.24609375,39644.44140625,BUY,True,0,8498.770046411424,8498.770046411424
28,35615.87109375,39699.5,SELL,False,0,8458.071840327382,8458.071840327382
29,35698.296875,39526.42578125,BUY,True,0,8458.071840327382,8458.071840327382
30,31676.693359375,39219.84765625,SELL,False,0,7505.224942124499,7505.224942124499
31,32505.66015625,38524.69921875,BUY,True,0,7505.224942124499,7505.224942124499
32,33723.02734375,37689.9140625,HOLD,True,1,7786.302592460796,7505.224942124499
33,34662.4375,36922.6171875,HOLD,True,2,8003.202803122013,7505.224942124499
34,31637.779296875,36334.6796875,SELL,False,0,7304.840115566183,7304.840115566183
35,32186.27734375,35673.109375,BUY,True,0,7304.840115566183,7304.840115566183
36,34649.64453125,35072.5546875,HOLD,True,1,7863.913886615808,7304.840115566183
37,34434.3359375,34729.2109375,SELL,False,0,7815.048501033821,7815.048501033821
38,35867.77734375,34566.1796875,BUY,True,0,7815.048501033821,7815.048501033821
39,35040.8359375,34664.90625,SELL,False,0,7634.870422659445,7634.870422659445
40,33572.1171875,34872.80859375,BUY,True,0,7634.870422659445,7634.870422659445
41,33897.046875,35015.30078125,SELL,False,0,7708.764959804138,7708.764959804138
42,34668.546875,35129.55078125,BUY,True,0,7708.764959804138,7708.764959804138
43,35287.78125,35278.28125,SELL,False,0,7846.4555376387825,7846.4555376387825
44,33746.00390625,35489.25,BUY,True,0,7846.4555376387825,7846.4555376387825
45,34235.1953125,35603.984375,SELL,False,0,7960.199927321162,7960.199927321162
46,33855.328125,35684.7109375,BUY,True,0,7960.199927321162,7960.199927321162
47,32877.37109375,35706.546875,SELL,False,0,7730.25876531745,7730.25876531745
48,33798.01171875,35609.58984375,BUY,True,0,7730.25876531745,7730.25876531745
49,33520.51953125,35513.8828125,SELL,False,0,7666.790936719149,7666.790936719149
50,34240.1875,35404.58984375,BUY,True,0,7666.790936719149,7666.790936719149
51,33155.84765625,35352.21484375,SELL,False,0,7423.994167969388,7423.994167969388
